project;mergecommit;consecutiveLinesonly;spacingonly;samePositiononly;sameStmtonly;otheronly;consecutiveLinesAndSamePosition;consecutiveLinesAndsameStmt;otherAndsamePosition;otherAndsameStmt;spacingAndSamePosition;spacingAndSameStmt;ssmergeConf;textualConf;jdimeConfs;smergeTime;textualTime;jdimeTime;sucessfullMerge;isSsEqualsToUn;isStEqualsToUn;travisStatus;travisBuildURI;travisJobURI;travisBuildTime
guilhermejccavalcanti/TGM;3ba28a912a763ff973e3d5ab63ac35a64462c117;0;0;0;0;0;0;0;0;0;0;0;0;1;1;46886360;16393373;514308681;true;false;false;NONE;null;null;0
guilhermejccavalcanti/TGM;7576fa3dd4c0860238f796e9fa85490db7d01ea2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51883760;17791416;562882079;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;d9c87e1cc9b192837942ec658910cb7465b526dd;0;0;0;0;0;0;0;0;0;0;0;0;1;0;110247728;19342775;761023067;true;false;false;NONE;null;null;0
guilhermejccavalcanti/TGM;9df3c53bed69f614303ffaf64753bae917743166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108029632;19112944;678247244;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;aa9f7cae808ec4ec58f183ee1e5d1b629679a5d9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111975442;22039590;684548251;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;c7472e3fccd4f16c1c6cf87d2bb4494a1ba1500a;0;0;0;0;0;0;0;0;0;0;0;1;1;1;113617823;22438665;660704432;true;true;false;NONE;null;null;0
guilhermejccavalcanti/TGM;1800432a1cd6ccfffd9bb7edaebf8f25e55902ec;0;0;0;0;0;0;0;0;0;0;0;1;1;1;111211140;19815805;681570974;true;true;false;NONE;null;null;0
guilhermejccavalcanti/TGM;7de52ed0e7092af61662d92e9794e5afdd90bfb3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;116596808;23377615;736205310;true;true;false;NONE;null;null;0
guilhermejccavalcanti/TGM;357f849bae185cf6b09bfae176a0d1082afab58d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118154139;22033048;721143705;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;dc1e644ed6448bc46c6ef8c73d3a20bb5ef86996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122031398;23081509;746855185;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;483728bac47627aa728a9b46897fe1ab86d5eb11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121224714;24625757;764994192;true;true;true;NONE;null;null;0
guilhermejccavalcanti/TGM;84838a87cc598a9a9f05f68476cdd67b31e2ecc2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;109980351;20472303;732399730;true;true;false;NONE;null;null;0
guilhermejccavalcanti/TGM;03077daed514b3a49a426afcd4143e2c37476e41;0;0;0;0;0;0;0;0;0;0;0;0;1;1;116463403;20713796;726797318;true;false;false;NONE;null;null;0
guilhermejccavalcanti/TGM;6f9fadec02576f4cbc00ccef305b98821c0abbd5;0;0;0;0;0;0;0;0;0;0;0;2;2;2;113616117;22423874;841329344;true;true;false;NONE;null;null;0
guilhermejccavalcanti/TGM;a08317dd89c4076c0b9486ca6180d541591c3538;0;0;0;0;0;0;0;0;0;0;0;1;0;0;113433503;20472018;756138306;true;false;false;NONE;null;null;0
guilhermejccavalcanti/TGM;0b1345325af23e3280108bf3d21189c367573dad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false;true;true;NONE;null;null;0
