projectName;numberOfScenarios;conflictingScenarios;conflictingScenariosNoWS;conflictingScenariosNoCLWS;scenariosWithCommonChangedFiles;scenariosWithCommonChangedMethods;scenariosWithSsmergeConf;scenariosWithTextualConf;scenariosWithJdimeConf;scenariosWithCL;scenariosWithWS;consecutiveLinesConf;spacingConf;ssmergeConf;jdimeConf;textualConf;ssmergetime;textualtime;jdimetime;travisBuildTime;travisBuildDiscarded;travisPASSEDssmerge;travisFAILEDssmerge;travisERROREDssmerge;travisPASSEDjdime;travisFAILEDjdime;travisERROREDjdime;changedFiles;commonChangedFiles;changedMethods;commonChangedMethods;ssmergeConfNoCL;ssmergeConfNoWS;ssmergeConfNoCLWS;scenariosWithSsmergeConfNoCL;scenariosWithSsmergeConfNoWS;scenariosWithSsmergeConfNoCLWS;scenariosOnlyWithSsmergeConf;scenariosOnlyWithTextualConf;scenariosOnlyWithJdimeConf;scenariosOnlyWithSsmergeConfNoCLWS;scenariosOnlyWithJdimeConfNoCLWS;scenariosOnlyWithSsmergeConfNoWS;scenariosOnlyWithJdimeConfNoWS;travisPASSEDjdimeNoWS;travisFAILEDjdimeNoWS;travisERROREDjdimeNoWS;travisPASSEDjdimeNoCLWS;travisFAILEDjdimeNoCLWS;travisERROREDjdimeNoCLWS
guilhermejccavalcanti/webcam-capture;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/brickhouse;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/kryo-serializers;22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1541887201;175424245;2040288641;0;0;0;0;0;0;0;0;65;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/optiq;7;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;63836891047;1062481695;54789825866;0;0;0;0;0;0;0;0;150;5;28;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/QRGen;45;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;17523671920;1508529734;18355706495;0;0;0;0;0;0;0;0;117;6;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/fenixedu-academic;897;0;0;0;44;4;0;0;0;0;0;0;0;0;0;0;276002817288;5046270295;219926266362;0;0;0;0;0;0;0;0;83479;149;109;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/webapp-runner;11;3;3;3;4;4;3;3;0;0;0;0;0;4;0;6;14130057074;1105503215;19884560557;1977;3;0;0;0;0;0;0;27;6;11;5;4;4;4;3;3;3;3;0;0;3;0;3;0;0;0;0;0;0;0
guilhermejccavalcanti/Xebium;30;3;2;2;8;3;3;5;2;0;1;0;1;3;2;5;48131380224;1568828775;38769914750;70;1;0;0;0;0;0;0;148;12;50;3;3;2;2;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/Metamorphosis;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guilhermejccavalcanti/zxing;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
