project;mergecommit;consecutiveLinesonly;spacingonly;samePositiononly;sameStmtonly;otheronly;consecutiveLinesAndSamePosition;consecutiveLinesAndsameStmt;otherAndsamePosition;otherAndsameStmt;spacingAndSamePosition;spacingAndSameStmt;ssmergeConf;textualConf;jdimeConfs;smergeTime;textualTime;jdimeTime;sucessfullMerge;isSsEqualsToUn;isStEqualsToUn;travisStatus;travisBuildURI;travisBuildTime;travisJOBuri
guilhermejccavalcanti/neo4j-reco;5d12362c872f7d2f2d61c21dc493b836d07a6936;0;0;0;0;0;0;0;0;0;0;0;1;2;0;178074125;36201361;1271062200;true;false;false;ERRORED;/builds/425536884;63;/jobs/425536885
guilhermejccavalcanti/elasticsearch-entity-resolution;8918c24485205f725d3938fd5907aa0720faa326;0;0;0;0;0;0;0;0;0;0;0;1;1;0;99730269;19969869;731389224;true;false;false;PASSED;/builds/425537381;35;/jobs/425537382
guilhermejccavalcanti/stateless4j;4c7880ec0e20cabecb1c31043e95ff6b8a707543;0;0;0;0;0;0;0;0;0;0;0;5;11;0;1611272474;220103729;9598160781;true;false;false;PASSED;/builds/425537623;52;/jobs/425537624
guilhermejccavalcanti/glacieruploader;cfeacbf6ce259d925301898491500214446bfa79;0;0;0;0;0;0;0;0;0;0;0;1;1;0;323589387;53609079;1863601344;true;false;false;PASSED;/builds/425537870;41;/jobs/425537871
guilhermejccavalcanti/JavaVerbalExpressions;1739d58c32a1c7b9ef9023e0330504f2126a4535;0;0;0;0;0;0;0;0;0;0;0;1;2;0;772822211;75255295;2888119618;true;false;false;ERRORED;/builds/425538347;71;/jobs/425538348
guilhermejccavalcanti/jOOU;14b486d119985f469f78ed5ee3144c4240f54f24;0;0;0;0;0;0;0;0;0;0;0;16;0;0;278336989;36840042;1490044757;true;false;false;PASSED;/builds/425538820;95;/jobs/425538822
guilhermejccavalcanti/stateless4j;26ac62ceca4d74ab85952e8fe26a1dcf201eeda7;0;0;0;0;0;0;0;0;0;0;0;8;9;0;1373760099;146839947;9615870057;true;false;false;PASSED;/builds/425539188;42;/jobs/425539189
guilhermejccavalcanti/Achilles;c8ea77623635d50226b12c9d29bc58ff399fb81e;0;0;0;0;0;0;0;0;0;0;0;4;6;0;717783907;85545653;4627969137;true;false;false;EXTERNAL;/builds/425539483;73;
guilhermejccavalcanti/Achilles;e738804ae77249f470f962a7467701fbf20cb285;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1377496620;101965501;8592889258;true;false;false;EXTERNAL;/builds/425539879;26;
guilhermejccavalcanti/Twig-Eclipse-Plugin;6a70f195651835b30f41e56348cd941a19b795f2;0;0;0;0;0;0;0;0;0;0;0;110;2;0;4723838240;231489280;29960973284;true;false;false;EXTERNAL;/builds/425540249;484;
