project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;ssmergeloc;ssmergerenamingconfs;ssmergedeletionconfs;ssmergeinnerdeletionconfs;ssmergetaeconfs;ssmergenereoconfs;ssmergeinitlblocksconfs;ssmergeacidentalconfs;unmergeconfs;unmergeloc;unmergetime;ssmergetime;unmergeduplicateddeclarationerrors;unmergeorderingconfs;equalconfs
/usr/miner/projects/RDIProject4;0ec36fa98c39e5af1e5f3e8ead05551d1d1fa6de;ad5e75c;ad5e75c5ece875409cb8d89bc85e959dfe01e2a7;9539a21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDIProject12;3cfa2624330f159c2a15e698e7c84703106434a5;de89ce60;ac9b6254fe9bc21d20351064c7c010362d26ceed;d67a65ff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDIProject2;aef70367582c94ca6d3ca93d80dfc5707ca07e0a;d3c79e2;2879256f4a07524d08612254e85461052af2ad08;9f6edda;0;0;0;0;0;0;0;0;0;1;13;18849400;155818500;0;1;0
/usr/miner/projects/RDUProject4;262e1ecdc18bc526973721b2cc391ee27cde7ebc;7939377;3ee8f7fd471615909d06e4e2fd5e43172926a583;4f7423a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDIProject1;209ca636548b58b42860be47b0e1a3da83017d97;167f35c;4399bfd4420e07b88f1433abb115aac46c500ef7;ea53db4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDUProject3;bedfcb696073507433d86376e51c05b58efd9eb9;15d0103d;84aa7c78fcb4db9730b556f007317e986cc58f56;d9950d21;6;65;0;0;0;0;0;0;0;5;62;93092900;1187386400;0;0;5
/usr/miner/projects/RDIProject3;41da4123d97c76715693a775427e41368a2be771;d95bf3d6;0f81307f6a8fd6ec4416e2a94b8cd92b429534e0;4c4f1e4f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDIProject7;659e9640b6cb06e4f44e263cfd14c0e033948b4a;a4519e9;38751a4689113f5a3381d31a8bd68d84cfe7cda5;8368f88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/RDIProject11;efeedf6cb30fe333362125e5591a763573fd2bde;d613c0e;47681bed547fb867f805b043ece6dadd673be11e;919107e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/usr/miner/projects/IProject1;bb540db2dbfe98efb4d66ff854d238313b118b04;0815415e;c61984c1e7dc015795e6187702ea70c3c6828228;f0cc227c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
