project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;ssmergeloc;ssmergerenamingconfs;ssmergedeletionconfs;ssmergeinnerdeletionconfs;ssmergetaeconfs;ssmergenereoconfs;ssmergeinitlblocksconfs;ssmergeacidentalconfs;unmergeconfs;unmergeloc;unmergetime;ssmergetime;unmergeduplicateddeclarationerrors;unmergeorderingconfs;equalconfs
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;3ba28a912a763ff973e3d5ab63ac35a64462c117;c0c6d0e;5bd4c041add32a8be8790ae715cbad8a713efd6c;4482591;0;0;0;0;0;0;0;0;0;1;2;11413700;75178600;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;7576fa3dd4c0860238f796e9fa85490db7d01ea2;e96943c;3ba28a912a763ff973e3d5ab63ac35a64462c117;f6f1b0d;0;0;0;0;0;0;0;0;0;0;0;11721400;80149000;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;d9c87e1cc9b192837942ec658910cb7465b526dd;b43d8b5;54b39ae864cffad86c855b5917f3c4d7a0249ae2;a9be6e0;0;0;0;0;0;0;0;0;0;1;4;11079000;132943800;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;9df3c53bed69f614303ffaf64753bae917743166;bfdd9de;d9c87e1cc9b192837942ec658910cb7465b526dd;04fd1ac;0;0;0;0;0;0;0;0;0;0;0;11455400;134198600;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;aa9f7cae808ec4ec58f183ee1e5d1b629679a5d9;4116c79;c8ee73cf4788db8067d65d2aa35d5fff588fdfba;394e171;0;0;0;0;0;0;0;0;0;0;0;12844100;138583100;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;1800432a1cd6ccfffd9bb7edaebf8f25e55902ec;ccb86e6;c7472e3fccd4f16c1c6cf87d2bb4494a1ba1500a;8b1eb81;2;4;0;0;0;0;0;0;0;2;4;22736600;265290900;0;0;2
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;7de52ed0e7092af61662d92e9794e5afdd90bfb3;af8e1d1;146f09316d737fb3455fd06246f5296416fbdc48;760454d;1;2;0;0;0;0;0;0;0;1;2;11757900;134302900;0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;357f849bae185cf6b09bfae176a0d1082afab58d;308e77c;7de52ed0e7092af61662d92e9794e5afdd90bfb3;ea93ab6;0;0;0;0;0;0;0;0;0;0;0;12788400;136405700;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;dc1e644ed6448bc46c6ef8c73d3a20bb5ef86996;357f849;7de52ed0e7092af61662d92e9794e5afdd90bfb3;50b1c07;0;0;0;0;0;0;0;0;0;0;0;13287400;140946400;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;483728bac47627aa728a9b46897fe1ab86d5eb11;8105a99;7de52ed0e7092af61662d92e9794e5afdd90bfb3;dc1e644;0;0;0;0;0;0;0;0;0;0;0;12807300;140092800;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;84838a87cc598a9a9f05f68476cdd67b31e2ecc2;64a7296;9c1a3f87bd7a6fa4944bd2a38c465a2f2ae99068;b051453;1;2;0;0;0;0;0;0;0;1;2;11353000;130194600;0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;03077daed514b3a49a426afcd4143e2c37476e41;bbd4c21;072c177c9523a837f3785d62dbceccb86491443a;583228c;0;0;0;0;0;0;0;0;0;1;2;12091800;139686500;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;6f9fadec02576f4cbc00ccef305b98821c0abbd5;96f0ab5;408281d129abeb7e02ef437db14067a4bf62be4a;59ddfff;2;4;0;0;0;0;0;0;0;2;4;12962400;133134700;0;0;2
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a08317dd89c4076c0b9486ca6180d541591c3538;793e85b;6f9fadec02576f4cbc00ccef305b98821c0abbd5;b5f54ba;1;2;0;0;0;0;0;0;0;0;0;11204500;133533100;1;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;0b1345325af23e3280108bf3d21189c367573dad;468e158;a08317dd89c4076c0b9486ca6180d541591c3538;81a8a35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;ced94bff0c76d36d3d0f875a41ce3570e107e63a;b4cc53e;2a5fde19ade32ce795f4f5a5037ae0ede90b39d2;38b56a4;1;2;0;0;0;0;0;0;1;1;2;11412600;134498000;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;6319d4bd07ded3b89f67098a3b69c11e5f74be22;6c216ab;ced94bff0c76d36d3d0f875a41ce3570e107e63a;516eb8e;1;4;0;0;0;0;0;0;0;1;4;11736100;138485800;1;1;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;596395952c8f4333ac06f93e5a75c1d383a19bb2;53ce8aa;6319d4bd07ded3b89f67098a3b69c11e5f74be22;97e96d1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;935c895593495ede2e0298f8e59a6cfad2a05502;c745304;34e2e401c54619da898567dbeabb3b41a7473006;f52298b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a305280ec266a528fdb0532a77a9245a13b626b4;5e81b80;935c895593495ede2e0298f8e59a6cfad2a05502;a2ac73f;0;0;0;0;0;0;0;0;0;0;0;11609700;140603200;2;2;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;c0a453c720d51d1c25de6deadcde9f92b81ce85b;7cbaa0a;a305280ec266a528fdb0532a77a9245a13b626b4;34b689f;1;10;0;1;0;0;0;0;0;1;9;11762200;142066000;2;2;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;e0c5c06ab5f4ce8faf13128e4dc2c66a4b9abbbe;404592b;c0a453c720d51d1c25de6deadcde9f92b81ce85b;f7f91e7;0;0;0;0;0;0;0;0;0;0;0;11602600;144235400;3;3;0
